"1Forge Finance APIs",0.0.1,"Stock and Forex Data and Realtime Quotes","30-05-2017 08:34:14","27-06-2017 16:49:57"
Authentiq,6,"Strong authentication, without the passwords.","15-03-2017 14:45:58","03-10-2017 18:36:19"
"Adafruit IO",2.0.0,"### The Internet of Things for Everyone

The Adafruit IO HTTP API provides access to your Adafruit IO data from any programming language or hardware environment that can speak HTTP. The easiest way to get started is with [an Adafruit IO learn guide](https://learn.adafruit.com/series/adafruit-io-basics) and [a simple Internet of Things capable device like the Feather Huzzah](https://www.adafruit.com/product/2821).

This API documentation is hosted on GitHub Pages and is available at [https://github.com/adafruit/io-api](https://github.com/adafruit/io-api). For questions or comments visit the [Adafruit IO Forums](https://forums.adafruit.com/viewforum.php?f=56) or the [adafruit-io channel on the Adafruit Discord server](https://discord.gg/adafruit).

#### Authentication

Authentication for every API request happens through the `X-AIO-Key` header or query parameter and your IO API key. A simple cURL request to get all available feeds for a user with the username ""io_username"" and the key ""io_key_12345"" could look like this:

    $ curl -H ""X-AIO-Key: io_key_12345"" https://io.adafruit.com/api/v2/io_username/feeds

Or like this:

    $ curl ""https://io.adafruit.com/api/v2/io_username/feeds?X-AIO-Key=io_key_12345

Using the node.js [request](https://github.com/request/request) library, IO HTTP requests are as easy as:

```js
var request = require('request');

var options = {
  url: 'https://io.adafruit.com/api/v2/io_username/feeds',
  headers: {
    'X-AIO-Key': 'io_key_12345',
    'Content-Type': 'application/json'
  }
};

function callback(error, response, body) {
  if (!error && response.statusCode == 200) {
    var feeds = JSON.parse(body);
    console.log(feeds.length + "" FEEDS AVAILABLE"");

    feeds.forEach(function (feed) {
      console.log(feed.name, feed.key);
    })
  }
}

request(options, callback);
```

#### Client Libraries

We have client libraries to help you get started with your project: [Python](https://github.com/adafruit/io-client-python), [Ruby](https://github.com/adafruit/io-client-ruby), [Arduino C++](https://github.com/adafruit/Adafruit_IO_Arduino), [Javascript](https://github.com/adafruit/adafruit-io-node), and [Go](https://github.com/adafruit/io-client-go) are available. They're all open source, so if they don't already do what you want, you can fork and add any feature you'd like.

","10-02-2018 10:41:43","10-02-2018 10:41:43"
Afterbanks,3.0.0,"La estandarización de la conexión con cualquier banco en tiempo real.","20-09-2017 14:12:57","22-09-2017 19:40:52"
airportsapi,v1,"Get name and website-URL for airports by ICAO code. Covered airports are mostly in Germany.","26-09-2017 15:09:23","26-09-2017 15:09:23"
"Amadeus Travel Innovation Sandbox",1.2,,"01-02-2017 13:06:13","04-04-2017 17:27:32"
"AWS Migration Hub",2017-05-31,<p/>,"20-08-2017 11:00:29","05-12-2017 13:11:36"
"AWS Certificate Manager",2015-12-08,"<fullname>AWS Certificate Manager</fullname> <p>Welcome to the AWS Certificate Manager (ACM) API documentation.</p> <p>You can use ACM to manage SSL/TLS certificates for your AWS-based websites and applications. For general information about using ACM, see the <a href=""http://docs.aws.amazon.com/acm/latest/userguide/""> <i>AWS Certificate Manager User Guide</i> </a>.</p>","02-05-2017 07:59:53","06-02-2018 08:29:45"
"Alexa For Business",2017-11-09,"Alexa for Business makes it easy for you to use Alexa in your organization. Alexa for Business gives you the tools you need to manage Alexa devices, enroll your users, and assign skills, at scale. You can build your own context-aware voice skills using the Alexa Skills Kit, and the Alexa for Business APIs, and you can make these available as private skills for your organization. Alexa for Business also makes it easy to voice-enable your products and services, providing context-aware voice experiences for your customers.","01-12-2017 18:40:16","27-01-2018 11:53:44"
"Amazon API Gateway",2015-07-09,"<fullname>Amazon API Gateway</fullname> <p>Amazon API Gateway helps developers deliver robust, secure, and scalable mobile and web application back ends. API Gateway allows developers to securely connect mobile and web applications to APIs that run on AWS Lambda, Amazon EC2, or other publicly addressable web services that are hosted outside of AWS.</p>","02-05-2017 07:59:53","20-12-2017 09:37:08"
